,,,,duracao_vitimacao,,,,,,,relacao_vitimima_com_agressor,,,,,,idade_vitima,,,,,,,,idade_agressor,,,,,,,sexo_vitima,,sexo_agressor,,estado_civil_vitima,,,,,,estado_civil_agressor,,,,,,tipo_familia_vitima,,,,,,,atividade_economica_agressor,,,,,,
ano,municipio,num_vitimas,num_vitimas_abs,1_6_meses,7_12_meses,2_6_anos,7_11_anos,12_25_anos,26_40_anos,40_mais_anos,conjuge,companheiro,filho,ex_companheiro,progenitor,outro,0_10_anos,11_17_anos,18_25_anos,26_35_anos,36_45_anos,46_55_anos,56_64_anos,65_mais_anos,0_17_anos,18_25_anos,26_35_anos,36_45_anos,46_55_anos,56_64_anos,65_mais_anos,feminino,masculino,feminino,masculino,casado,divorciado,separado,solteiro,uniao_de_facto,viuvo,casado,divorciado,separado,solteiro,uniao_de_facto,viuvo,alargada,individuo_isolado,monoparental,nuclear_com_filhos,nuclear_sem_filhos,reconstruida,outro,desempregado,empregado,estudante,reformado,domestico,incapacitado,outro
2013,Arcos de Valdevez,26,26,2,2,5,2,2,1,0,9,4,3,3,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,2,1,22,4,3,22,10,2,2,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,9,0,2,0,0,0
2013,Caminha,26,26,2,2,5,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,1,2,0,1,2,4,3,2,1,23,4,3,22,10,2,2,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,9,0,2,0,0,0
2013,Melgaço,7,7,0,1,1,0,1,0,0,2,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,6,1,1,6,3,1,0,2,1,0,3,1,0,1,1,0,0,1,1,3,0,0,0,1,2,0,1,0,0,0
2013,Monção,25,25,1,2,5,2,2,1,0,8,4,3,3,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,1,1,22,3,3,22,9,2,1,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,8,0,2,0,0,0
2013,Paredes de Coura,11,11,1,1,2,1,1,0,0,4,2,1,1,1,2,1,1,1,1,2,1,1,1,0,0,1,2,1,1,1,9,2,1,9,4,1,1,2,1,0,5,1,1,1,1,0,1,1,2,5,1,1,0,2,4,0,1,0,0,0
2013,Ponte da Barca,20,20,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,17,3,3,17,7,2,1,5,2,1,9,2,1,2,2,0,1,1,3,9,1,1,0,4,7,0,2,0,0,0
2013,Ponte de Lima,39,39,2,4,8,3,3,2,0,13,6,4,4,3,8,3,2,2,4,6,4,2,3,0,1,3,6,4,2,2,34,5,5,33,15,3,2,9,4,1,17,3,2,4,5,0,2,3,5,18,2,2,0,7,13,1,3,0,0,0
2013,Valença,21,21,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0
2013,Viana do Castelo,24,24,1,2,5,2,2,1,0,8,4,3,2,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,1,1,21,3,3,21,9,2,1,5,3,1,11,2,1,3,3,0,1,2,3,11,2,1,0,5,8,0,2,0,0,0
2013,Vila Nova de Cerveira,21,21,1,2,4,1,2,1,0,7,3,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0
2013,Amares,33,33,2,3,7,2,3,1,0,11,5,4,3,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,28,5,4,28,12,3,2,7,4,1,15,3,2,4,4,0,2,2,5,16,2,2,0,6,11,1,3,0,0,0
2013,Barcelos,18,18,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,16,3,2,16,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,9,1,1,0,4,6,0,1,0,0,0
2013,Braga,18,18,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,1,0,1,2,3,2,1,1,15,2,2,15,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,8,1,1,0,3,6,0,1,0,0,0
2013,Esposende,40,40,2,4,8,3,3,2,0,13,6,4,4,3,8,3,2,3,4,6,4,2,3,0,1,3,6,4,2,2,34,5,5,34,15,4,2,9,4,1,17,3,2,5,5,0,2,3,6,19,3,2,0,8,13,1,3,0,0,0
2013,Terras de Bouro,20,20,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,17,3,3,17,7,2,1,4,2,1,9,2,1,2,2,0,1,1,3,9,1,1,0,4,7,0,2,0,0,0
2013,Vila Verde,33,33,2,3,7,2,3,1,0,11,5,4,3,3,7,2,2,2,4,5,3,2,3,0,1,3,5,4,2,2,28,4,4,28,12,3,2,7,4,1,14,2,2,4,4,0,2,2,5,15,2,2,0,6,11,0,3,0,0,0
2013,Cabeceiras de Basto,28,28,2,2,6,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,2,2,0,1,2,4,3,2,1,24,4,4,24,10,2,2,6,3,1,12,2,2,3,3,0,1,2,4,13,2,2,0,5,9,0,2,0,0,0
