ano,municipio,num_vitimas,num_vitimas_abs,duracao_vitimacao_1_6_m,duracao_vitimacao_7_12_m,duracao_vitimacao_2_6_a,duracao_vitimacao_7_11_a,duracao_vitimacao_12_25_a,26_40_anos,40_mais_anos,rel_agr_conjuge,rel_agr_companheiro,rel_agr_filho,rel_agr_ex_companheiro,rel_agr_progenitor,rel_agr_outro,vitima_0_10,vitima_11_17,vitima_18_25,vitima_26_35,vitima_36_45,vitima_46_55,vitima_56_64,vitima_65+,autor_crime_0_17,autor_crime_18_25,autor_crime_26_35,autor_crime_36_45,autor_crime_46_55,autor_crime_56_64,autor_crime_65+,vitimas_feminino,vitimas_masculino,autor_crime_feminino,autor_crime_masculino,vitima_casado,vitima_divorciado,vitima_separado,vitima_solteiro,vitima_uniao_de_facto,vitima_viuvo,autor_crime_casado,autor_crime_divorciado,autor_crime_separado,autor_crime_solteiro,autor_crime_uniao_de_facto,autor_crime_viuvo,vitima_alargada,vitima_individuo_isolado,vitima_monoparental,vitima_nuclear_com_filhos,vitima_nuclear_sem_filhos,vitima_reconstruida,vitima_outro,autor_crime_desempregado,autor_crime_empregado,autor_crime_estudante,autor_crime_reformado,autor_crime_domestico,autor_crime_incapacitado,autor_crime_outro,codigo_municipio
2013,Arcos de Valdevez,26,26,2,2,5,2,2,1,0,9,4,3,3,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,2,1,22,4,3,22,10,2,2,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,9,0,2,0,0,0,1601
2013,Caminha,26,26,2,2,5,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,1,2,0,1,2,4,3,2,1,23,4,3,22,10,2,2,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,9,0,2,0,0,0,1602
2013,Melgaço,7,7,0,1,1,0,1,0,0,2,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,6,1,1,6,3,1,0,2,1,0,3,1,0,1,1,0,0,1,1,3,0,0,0,1,2,0,1,0,0,0,1603
2013,Monção,25,25,1,2,5,2,2,1,0,8,4,3,3,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,1,1,22,3,3,22,9,2,1,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,8,0,2,0,0,0,1604
2013,Paredes de Coura,11,11,1,1,2,1,1,0,0,4,2,1,1,1,2,1,1,1,1,2,1,1,1,0,0,1,2,1,1,1,9,2,1,9,4,1,1,2,1,0,5,1,1,1,1,0,1,1,2,5,1,1,0,2,4,0,1,0,0,0,1605
2013,Ponte da Barca,20,20,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,17,3,3,17,7,2,1,5,2,1,9,2,1,2,2,0,1,1,3,9,1,1,0,4,7,0,2,0,0,0,1606
2013,Ponte de Lima,39,39,2,4,8,3,3,2,0,13,6,4,4,3,8,3,2,2,4,6,4,2,3,0,1,3,6,4,2,2,34,5,5,33,15,3,2,9,4,1,17,3,2,4,5,0,2,3,5,18,2,2,0,7,13,1,3,0,0,0,1607
2013,Valença,21,21,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1608
2013,Viana do Castelo,24,24,1,2,5,2,2,1,0,8,4,3,2,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,1,1,21,3,3,21,9,2,1,5,3,1,11,2,1,3,3,0,1,2,3,11,2,1,0,5,8,0,2,0,0,0,1609
2013,Vila Nova de Cerveira,21,21,1,2,4,1,2,1,0,7,3,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1610
2013,Amares,33,33,2,3,7,2,3,1,0,11,5,4,3,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,28,5,4,28,12,3,2,7,4,1,15,3,2,4,4,0,2,2,5,16,2,2,0,6,11,1,3,0,0,0,301
2013,Barcelos,18,18,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,16,3,2,16,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,9,1,1,0,4,6,0,1,0,0,0,302
2013,Braga,18,18,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,1,0,1,2,3,2,1,1,15,2,2,15,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,8,1,1,0,3,6,0,1,0,0,0,303
2013,Esposende,40,40,2,4,8,3,3,2,0,13,6,4,4,3,8,3,2,3,4,6,4,2,3,0,1,3,6,4,2,2,34,5,5,34,15,4,2,9,4,1,17,3,2,5,5,0,2,3,6,19,3,2,0,8,13,1,3,0,0,0,306
2013,Terras de Bouro,20,20,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,17,3,3,17,7,2,1,4,2,1,9,2,1,2,2,0,1,1,3,9,1,1,0,4,7,0,2,0,0,0,310
2013,Vila Verde,33,33,2,3,7,2,3,1,0,11,5,4,3,3,7,2,2,2,4,5,3,2,3,0,1,3,5,4,2,2,28,4,4,28,12,3,2,7,4,1,14,2,2,4,4,0,2,2,5,15,2,2,0,6,11,0,3,0,0,0,313
2013,Cabeceiras de Basto,28,28,2,2,6,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,2,2,0,1,2,4,3,2,1,24,4,4,24,10,2,2,6,3,1,12,2,2,3,3,0,1,2,4,13,2,2,0,5,9,0,2,0,0,0,304
2013,Fafe,12,12,1,1,2,1,1,0,0,4,2,1,1,1,2,1,1,1,1,2,1,1,1,0,0,1,2,1,1,1,10,2,1,10,4,1,1,3,1,0,5,1,1,1,1,0,1,1,2,5,1,1,0,2,4,0,1,0,0,0,307
2013,Guimarães,34,34,2,3,7,2,3,1,0,11,5,4,3,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,29,5,4,29,13,3,2,8,4,1,15,3,2,4,4,0,2,3,5,16,2,2,0,6,11,1,3,0,0,0,308
2013,Mondim de Basto,40,40,2,4,8,3,3,2,0,13,6,4,4,3,8,3,2,3,4,6,4,2,3,0,1,4,6,4,2,2,34,6,5,34,15,4,2,9,4,1,18,3,2,5,5,0,2,3,6,19,3,2,0,8,13,1,3,0,0,0,1705
2013,Póvoa de Lanhoso,26,26,2,2,5,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,1,2,0,1,2,4,3,2,1,22,4,3,22,10,2,2,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,9,0,2,0,0,0,309
2013,Vieira do Minho,24,24,1,2,5,2,2,1,0,8,4,3,2,2,5,2,1,2,3,4,3,1,2,0,1,2,3,3,1,1,20,3,3,20,9,2,1,5,3,1,10,2,1,3,3,0,1,2,3,11,2,1,0,5,8,0,2,0,0,0,311
2013,Vila Nova de Famalicão,31,31,2,3,6,2,2,1,0,10,5,3,3,3,7,2,2,2,3,5,3,2,3,0,1,3,5,3,2,2,27,4,4,27,12,3,2,7,3,1,14,2,2,4,4,0,2,2,4,15,2,2,0,6,10,0,2,0,0,0,312
2013,Vizela,27,27,2,2,6,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,2,2,0,1,2,4,3,2,1,24,4,3,24,10,2,2,6,3,1,12,2,2,3,3,0,1,2,4,13,2,1,0,5,9,0,2,0,0,0,314
2013,Arouca,31,31,2,3,6,2,2,1,0,10,5,3,3,3,7,2,2,2,3,5,3,2,3,0,1,3,5,3,2,2,27,4,4,27,12,3,2,7,3,1,14,2,2,4,4,0,2,2,4,15,2,2,0,6,10,0,2,0,0,0,104
2013,Espinho,49,49,3,4,10,3,4,2,1,16,8,5,5,4,10,3,3,3,5,7,5,3,4,0,2,4,7,5,3,2,42,7,6,42,18,4,3,11,5,2,22,4,3,6,6,0,2,4,7,23,3,3,1,9,16,1,4,0,0,0,107
2013,Gondomar,22,22,1,2,4,1,2,1,0,7,4,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,19,3,3,19,8,2,1,5,2,1,10,2,1,3,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1304
2013,Maia,9,9,1,1,2,1,1,0,0,3,1,1,1,1,2,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,8,1,1,8,3,1,1,2,1,0,4,1,1,1,1,0,0,1,1,4,1,0,0,2,3,0,1,0,0,0,1306
2013,Matosinhos,18,18,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,1,0,1,2,3,2,1,1,15,2,2,15,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,8,1,1,0,3,6,0,1,0,0,0,1308
